ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4992,-1471,10306,12221,12415,12480,9164,0.83,0.98,10265,0.822516026,74.83974359
4992,-1485,10258,12241,12380,12505,9170,0.83,0.98,10292.5,0.823070772,69.29228309
4993,-1464,10337,12105,12418,12360,9176,0.83,0.98,10113,0.818203883,117.961165
4993,-1463,10304,12295,12432,12560,9177,0.83,0.98,10363,0.825079618,49.20382166
4992,-1460,10275,12253,12395,12511,9176,0.83,0.98,10306.3,0.823779074,62.20925585
4993,-1474,10136,12229,12238,12499,9175,0.83,0.98,10278.7,0.822361789,76.38211057
4993,-1476,10313,12188,12433,12446,9173,0.83,0.98,10221.8,0.821291981,87.08018641
4993,-1472,10126,12263,12239,12521,9173,0.83,0.98,10319.3,0.824159412,58.40587812
4993,-1476,10224,12228,12374,12492,9173,0.83,0.98,10275.6,0.822574448,74.25552354
4993,-1448,10374,12172,12485,12431,9176,0.83,0.98,10201.3,0.820633899,93.66100877
4993,-1460,10313,12214,12436,12480,9180,0.83,0.98,10258,0.821955128,80.44871795
4993,-1462,10311,12236,12422,12499,9184,0.83,0.98,10285.7,0.822921834,70.78166253
4994,-1471,10296,12080,12372,12336,9186,0.83,0.98,10080.8,0.817185473,128.1452659
4994,-1465,10344,12027,12431,12284,9186,0.83,0.98,10012.2,0.815060241,149.3975904
4994,-1463,10234,12237,12327,12502,9180,0.83,0.98,10287.6,0.82287634,71.23660214
4995,-1453,10265,12136,12328,12396,9174,0.83,0.98,10154.8,0.819199742,108.0025815
4995,-1474,10236,12270,12363,12531,9168,0.83,0.98,10329.3,0.824299737,57.00263347
4995,-1451,10318,12194,12419,12457,9168,0.83,0.98,10231.1,0.821313318,86.86682187
4995,-1481,10348,12054,12433,12301,9168,0.83,0.98,10044.3,0.81654337,134.5662954
4995,-1458,10224,12255,12376,12515,9167,0.83,0.98,10309.5,0.823771474,62.28525769
4995,-1483,10296,12233,12436,12500,9167,0.83,0.98,10283,0.82264,73.6
4995,-1459,10192,12310,12310,12577,9167,0.83,0.98,10383.1,0.825562535,44.37465214
4996,-1489,10334,12019,12423,12269,9167,0.83,0.98,9999.7,0.8150379,149.620996
4997,-1466,10356,12216,12444,12477,9172,0.83,0.98,10259.1,0.822240923,77.59076701
4997,-1501,10245,12252,12396,12514,9178,0.83,0.98,10306.2,0.823573598,64.26402429
